iter	Passed	Remaining
0	0	72
1	1	71
2	2	66
3	2	61
4	3	60
5	3	58
6	4	57
7	4	56
8	5	55
9	6	55
10	6	54
11	7	54
12	7	53
13	8	52
14	9	51
15	9	51
16	10	51
17	11	50
18	11	50
19	12	49
20	12	48
21	13	48
22	14	47
23	14	47
24	15	46
25	16	46
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	40
35	22	39
36	22	38
37	23	38
38	24	37
39	25	37
40	25	36
41	25	35
42	26	35
43	27	34
44	28	34
45	28	33
46	29	33
47	30	32
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	36	25
59	37	25
60	38	24
61	38	23
62	39	23
63	40	22
64	40	21
65	41	21
66	41	20
67	42	20
68	43	19
69	43	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	14
76	48	14
77	48	13
78	49	13
79	50	12
80	50	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	59	3
94	59	3
95	60	2
96	60	1
97	61	1
98	61	0
99	62	0
